"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Both sexes","Evacuation of subdural haematoma & intracranial haemorrhage","Co. Wicklow","Rate","8.4"
"Average Length of Stay","2020","Both sexes","Evacuation of subdural haematoma & intracranial haemorrhage","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Both sexes","Evacuation of subdural haematoma & intracranial haemorrhage","Co. Wexford","Rate","7.89"
"Average Length of Stay","2020","Both sexes","Evacuation of subdural haematoma & intracranial haemorrhage","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Evacuation of subdural haematoma & intracranial haemorrhage","Ireland plus non-residents","Rate","10.73"
"Average Length of Stay","2020","Both sexes","Evacuation of subdural haematoma & intracranial haemorrhage","Ireland","Rate","10.73"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Clare","Rate","5.73"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Cork","Rate","12.96"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Cavan","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Carlow","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Donegal","Rate","9.47"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Dublin","Rate","12.06"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Galway","Rate","9.31"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Kildare","Rate","8.71"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Kilkenny","Rate","8.07"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Kerry","Rate","12.05"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Longford","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Louth","Rate","11.07"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Limerick","Rate","8.5"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Laois","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Meath","Rate","25.78"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Monaghan","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Mayo","Rate","7.64"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Offaly","Rate","8.43"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Roscommon","Rate","8.43"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Sligo","Rate","7.83"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Tipperary","Rate","13.91"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Waterford","Rate","22.67"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Wicklow","Rate","8.2"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Westmeath","Rate","7.6"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Co. Wexford","Rate","10.48"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Ireland plus non-residents","Rate","11.48"
"Average Length of Stay","2020","Both sexes","Extirpation, excision & destruction of intracranial lesion","Ireland","Rate","11.48"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Clare","Rate","3.14"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Cork","Rate","4.56"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Cavan","Rate","3.78"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Carlow","Rate","2.58"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Donegal","Rate","3.32"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Dublin","Rate","7.5"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Galway","Rate","6.09"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Kildare","Rate","5.87"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Kilkenny","Rate","3.5"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Kerry","Rate","2.35"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Longford","Rate","16.45"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Louth","Rate","2.74"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Limerick","Rate","5.95"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Laois","Rate","16.63"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Meath","Rate","3.8"
"Average Length of Stay","2020","Both sexes","Discectomy","Co. Monaghan","Rate","4.5"
