"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Carlow","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Donegal","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Dublin","Rate","9.79"
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Galway","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Kildare","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Kilkenny","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Kerry","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Longford","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Louth","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Limerick","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Laois","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Meath","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Monaghan","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Mayo","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Offaly","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Roscommon","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Sligo","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Tipperary","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Waterford","Rate","6.57"
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Wicklow","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Co. Wexford","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Carotid endarterectomy","Ireland plus non-residents","Rate","8.41"
"Average Length of Stay","2020","Female","Carotid endarterectomy","Ireland","Rate","8.41"
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Clare","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Cork","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Cavan","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Carlow","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Donegal","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Dublin","Rate","19.78"
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Galway","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Kildare","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Kilkenny","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Kerry","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Longford","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Louth","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Limerick","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Laois","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Meath","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Monaghan","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Mayo","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Offaly","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Roscommon","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Sligo","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Tipperary","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Waterford","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Wicklow","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Co. Wexford","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Ireland plus non-residents","Rate","24.14"
"Average Length of Stay","2020","Female","Femoropopliteal bypass","Ireland","Rate","24.14"
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Clare","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Cork","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Cavan","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Carlow","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Donegal","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Dublin","Rate","16.9"
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Galway","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Kildare","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Kilkenny","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Kerry","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Longford","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Louth","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Limerick","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Laois","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Meath","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Monaghan","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Mayo","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Offaly","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Roscommon","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Sligo","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Tipperary","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Waterford","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Wicklow","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Co. Wexford","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Ireland plus non-residents","Rate","19.03"
"Average Length of Stay","2020","Female","Infrarenal aortic aneurysm repair","Ireland","Rate","19.03"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Clare","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Cork","Rate",""
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Cavan","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Carlow","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Donegal","Rate",""
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Dublin","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Galway","Rate",""
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Kildare","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Kilkenny","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Kerry","Rate",""
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Longford","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Louth","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Limerick","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Leitrim","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Laois","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Meath","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Monaghan","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Mayo","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Offaly","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Roscommon","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Sligo","Rate",""
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Tipperary","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Waterford","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Wicklow","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Westmeath","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Co. Wexford","Rate","0"
"Average Length of Stay","2020","Female","Therapeutic venesection","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Therapeutic venesection","Ireland plus non-residents","Rate","7.72"
"Average Length of Stay","2020","Female","Therapeutic venesection","Ireland","Rate","7.72"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Clare","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Cork","Rate","1"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Cavan","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Carlow","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Donegal","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Dublin","Rate","1"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Galway","Rate","3"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Kildare","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Kilkenny","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Kerry","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Longford","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Louth","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Limerick","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Leitrim","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Laois","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Meath","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Monaghan","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Mayo","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Offaly","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Roscommon","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Sligo","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Tipperary","Rate","1.14"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Waterford","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Wicklow","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Westmeath","Rate","0"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Co. Wexford","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Ireland plus non-residents","Rate","1.85"
"Average Length of Stay","2020","Female","Ligation & stripping of varicose veins","Ireland","Rate","1.85"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Clare","Rate","11.5"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Cork","Rate","12.13"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Cavan","Rate","31.35"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Carlow","Rate","19.83"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Donegal","Rate","9.6"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Dublin","Rate","19.2"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Galway","Rate","11.79"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Kildare","Rate","10.36"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Kilkenny","Rate","13.5"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Kerry","Rate","11.3"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Longford","Rate",""
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Louth","Rate","10.93"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Limerick","Rate","12.77"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Leitrim","Rate","2.5"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Laois","Rate","16.33"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Meath","Rate","27.07"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Monaghan","Rate","12.5"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Mayo","Rate","12.09"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Offaly","Rate","12.73"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Roscommon","Rate","14.79"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Sligo","Rate","19.5"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Tipperary","Rate","9"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Waterford","Rate","3.33"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Wicklow","Rate","19.26"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Westmeath","Rate","6.78"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Co. Wexford","Rate","12.98"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Non-residents","Rate","40.4"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Ireland plus non-residents","Rate","15.28"
"Average Length of Stay","2020","Female","Procedures on blood & blood-forming organs","Ireland","Rate","15.11"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Clare","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Cork","Rate","27.55"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Cavan","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Carlow","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Donegal","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Dublin","Rate","28.56"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Galway","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Kildare","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Kilkenny","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Kerry","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Longford","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Louth","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Limerick","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Laois","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Meath","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Monaghan","Rate","0"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Mayo","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Offaly","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Roscommon","Rate","32.4"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Sligo","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Tipperary","Rate","13.83"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Waterford","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Wicklow","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Westmeath","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Co. Wexford","Rate","31.83"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Ireland plus non-residents","Rate","31.27"
"Average Length of Stay","2020","Female","Bone marrow / stem cell transplantation","Ireland","Rate","30.49"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Clare","Rate","7.86"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Cork","Rate","8.97"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Cavan","Rate","7.33"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Carlow","Rate","9.58"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Donegal","Rate","8.67"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Dublin","Rate","11.79"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Galway","Rate","10.69"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Kildare","Rate","9"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Kilkenny","Rate","9.97"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Kerry","Rate","9.71"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Longford","Rate","7.99"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Louth","Rate","8.69"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Limerick","Rate","8.96"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Leitrim","Rate","6.62"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Laois","Rate","8.05"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Meath","Rate","8.22"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Monaghan","Rate","7.84"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Mayo","Rate","8"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Offaly","Rate","8.31"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Roscommon","Rate","10.07"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Sligo","Rate","9.21"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Tipperary","Rate","8.78"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Waterford","Rate","8.7"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Wicklow","Rate","8.98"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Westmeath","Rate","6.22"
"Average Length of Stay","2020","Female","Procedures on digestive system","Co. Wexford","Rate","8.18"
"Average Length of Stay","2020","Female","Procedures on digestive system","Non-residents","Rate","7.09"
"Average Length of Stay","2020","Female","Procedures on digestive system","Ireland plus non-residents","Rate","9.6"
"Average Length of Stay","2020","Female","Procedures on digestive system","Ireland","Rate","9.61"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Clare","Rate","9.56"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Cork","Rate","11.78"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Cavan","Rate","8.1"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Carlow","Rate","10.32"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Donegal","Rate","7.52"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Dublin","Rate","12.21"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Galway","Rate","7.67"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Kildare","Rate","9.6"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Kilkenny","Rate","9.36"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Kerry","Rate","7.61"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Longford","Rate","6.5"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Louth","Rate","9.21"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Limerick","Rate","9.07"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Leitrim","Rate","4.61"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Laois","Rate","4.61"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Meath","Rate","6.68"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Monaghan","Rate","12.27"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Mayo","Rate","10.07"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Offaly","Rate","10.24"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Roscommon","Rate","9.77"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Sligo","Rate","8.39"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Tipperary","Rate","9.11"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Waterford","Rate","7.38"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Wicklow","Rate","9.97"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Westmeath","Rate","6.08"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Co. Wexford","Rate","8.75"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Ireland plus non-residents","Rate","9.9"
"Average Length of Stay","2020","Female","Colonoscopy with or without biopsy","Ireland","Rate","9.89"
"Average Length of Stay","2020","Female","Colectomy","Co. Clare","Rate","10.88"
"Average Length of Stay","2020","Female","Colectomy","Co. Cork","Rate","17.59"
"Average Length of Stay","2020","Female","Colectomy","Co. Cavan","Rate","8.2"
"Average Length of Stay","2020","Female","Colectomy","Co. Carlow","Rate","25.8"
"Average Length of Stay","2020","Female","Colectomy","Co. Donegal","Rate","15.04"
"Average Length of Stay","2020","Female","Colectomy","Co. Dublin","Rate","16.29"
"Average Length of Stay","2020","Female","Colectomy","Co. Galway","Rate","16.86"
"Average Length of Stay","2020","Female","Colectomy","Co. Kildare","Rate","11.4"
"Average Length of Stay","2020","Female","Colectomy","Co. Kilkenny","Rate","11.38"
"Average Length of Stay","2020","Female","Colectomy","Co. Kerry","Rate","8.81"
"Average Length of Stay","2020","Female","Colectomy","Co. Longford","Rate","10.44"
"Average Length of Stay","2020","Female","Colectomy","Co. Louth","Rate","13.23"
"Average Length of Stay","2020","Female","Colectomy","Co. Limerick","Rate","20.24"
"Average Length of Stay","2020","Female","Colectomy","Co. Leitrim","Rate","16.5"
"Average Length of Stay","2020","Female","Colectomy","Co. Laois","Rate","17"
"Average Length of Stay","2020","Female","Colectomy","Co. Meath","Rate","11.12"
"Average Length of Stay","2020","Female","Colectomy","Co. Monaghan","Rate","11.43"
"Average Length of Stay","2020","Female","Colectomy","Co. Mayo","Rate","15.87"
"Average Length of Stay","2020","Female","Colectomy","Co. Offaly","Rate","11.11"
"Average Length of Stay","2020","Female","Colectomy","Co. Roscommon","Rate","20.56"
"Average Length of Stay","2020","Female","Colectomy","Co. Sligo","Rate","16.53"
"Average Length of Stay","2020","Female","Colectomy","Co. Tipperary","Rate","15"
"Average Length of Stay","2020","Female","Colectomy","Co. Waterford","Rate","15.39"
"Average Length of Stay","2020","Female","Colectomy","Co. Wicklow","Rate","12.94"
"Average Length of Stay","2020","Female","Colectomy","Co. Westmeath","Rate","13.55"
"Average Length of Stay","2020","Female","Colectomy","Co. Wexford","Rate","14.97"
"Average Length of Stay","2020","Female","Colectomy","Non-residents","Rate",""
"Average Length of Stay","2020","Female","Colectomy","Ireland plus non-residents","Rate","15.14"
"Average Length of Stay","2020","Female","Colectomy","Ireland","Rate","15.14"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Clare","Rate","3.89"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Cork","Rate","3.01"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Cavan","Rate","2.4"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Carlow","Rate","2.76"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Donegal","Rate","4.11"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Dublin","Rate","3.64"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Galway","Rate","2.99"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Kildare","Rate","3.06"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Kilkenny","Rate","2.82"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Kerry","Rate","2.78"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Longford","Rate","2.87"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Louth","Rate","2.84"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Limerick","Rate","4.3"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Leitrim","Rate","3.94"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Laois","Rate","3.06"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Meath","Rate","2.96"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Monaghan","Rate","2.53"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Mayo","Rate","3.13"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Offaly","Rate","2.36"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Roscommon","Rate","3.13"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Sligo","Rate","4.6"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Tipperary","Rate","3.9"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Waterford","Rate","3.07"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Wicklow","Rate","3.19"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Westmeath","Rate","2.58"
"Average Length of Stay","2020","Female","Appendicectomy","Co. Wexford","Rate","2.66"
"Average Length of Stay","2020","Female","Appendicectomy","Non-residents","Rate","2.58"
"Average Length of Stay","2020","Female","Appendicectomy","Ireland plus non-residents","Rate","3.24"
"Average Length of Stay","2020","Female","Appendicectomy","Ireland","Rate","3.24"
"Average Length of Stay","2020","Female","Laparoscopic appendicectomy","Co. Clare","Rate","3.81"
